Angle (rad),Angular Velocity (rad/s)
4.571776339905975206e-02,-6.638772631358874632e-01
3.749679114148032899e-02,-1.603663267817082572e-01
3.926832955891511323e-02,3.378365355030730210e-01
2.998806494234572406e-02,-1.264172141606252131e+00
9.589628094546606002e-03,-7.800813956166192664e-01
5.613654974115691795e-03,3.815295641215846745e-01
6.361342935057022127e-03,-3.065317442407279880e-01
1.184792555484883401e-02,8.559867154573580494e-01
2.215322454995330079e-02,1.755403379456643709e-01
1.888515317653225237e-02,-5.024144553582933215e-01
1.361282730033845992e-02,-2.584444461245222202e-02
1.784389531919697985e-02,4.495906505420553811e-01
2.004010606125340363e-02,-2.296728826876289764e-01
8.648413211032997261e-03,-9.104165420239815898e-01
-4.891639329132870841e-03,-4.457316342118603503e-01
-1.618189749102636951e-02,-6.850083932172738033e-01
-3.238292792446881285e-02,-9.380288830668925826e-01
-6.804022558379407837e-02,-2.651096386934575833e+00
-1.304624122672782272e-01,-3.651585475987944029e+00
-2.255897090752775891e-01,-6.252930774368238964e+00
-4.014022223616977025e-01,-6.908452586992257061e+00
-4.564089134781176282e-01,-4.652013684262494841e-01
-4.802921739121777667e-01,-1.800740910960594965e+00
-5.116215006394591036e-01,-1.363713106040272294e+00
-5.232199724455695033e-01,1.608075430660493854e-01
-5.046970257670365667e-01,1.764360897167021047e+00
-4.668302606024754553e-01,2.043412352395886700e+00
-4.311167102932394468e-01,1.413742553449609307e+00
-3.283133082708892259e-01,4.806638714845428595e+00
-2.973625622145290026e-01,-7.049643100510065707e-01
-2.731097926403166509e-01,2.816207397006077695e+00
-2.178165319740581196e-01,2.755355139228201633e+00
-1.618529382292384078e-01,2.859459825085108875e+00
-1.054104986883899475e-01,2.809517330623258591e+00
-3.428861355104298458e-02,4.297465140369246761e+00
4.443835244218954927e-02,3.616976082235338286e+00
1.340694808082656397e-01,5.491495960518364861e+00
2.787575814398149388e-01,1.052441122014825936e+01
5.296067099727780336e-01,6.460043497694862857e+00
6.393957702846905233e-01,4.809746240333693024e+00
7.214521726327123297e-01,3.521689381165666433e+00
7.852002480212150193e-01,2.890888954248605369e+00
8.401760458501769113e-01,2.616794660097732983e+00
8.885235687171479935e-01,2.231478417257278579e+00
9.302299253557453351e-01,1.946640714218540680e+00
9.669576943294492244e-01,1.730394745267333612e+00
9.981527888577939045e-01,1.395590746253929426e+00
1.024578139658756104e+00,1.248430883204765252e+00
1.048142264772671917e+00,1.109127245555516117e+00
1.069893396737502611e+00,1.065443409778899175e+00
1.091164702620765814e+00,1.060526141755719465e+00
1.109679526513570824e+00,7.935245131088121129e-01
1.124506199914063087e+00,6.894012360622212565e-01
1.136358958465006452e+00,4.968458777137989557e-01
1.145288254460258504e+00,3.962032093367539032e-01
1.150673730270099115e+00,1.430306137400937372e-01
1.151869982300757878e+00,-2.332757125758314065e-02
1.151091833253109264e+00,-5.447404272963726757e-02
1.148844291379553351e+00,-1.703380980841284753e-01
1.144789077745637096e+00,-2.351441100238567672e-01
1.138744126992083716e+00,-3.695840655560318488e-01
1.129280368616686125e+00,-5.776555418521004404e-01
1.115594404443358556e+00,-7.922692681501952716e-01
1.099082494411040445e+00,-8.587838916891330499e-01
1.081659270330986855e+00,-8.828718014169459893e-01
1.061403860067886562e+00,-1.145443928513904863e+00
1.036877787752632951e+00,-1.308773959149623245e+00
1.009739880487474872e+00,-1.405479432528773165e+00
9.786953197522874071e-01,-1.704427734069747791e+00
9.434644599053243486e-01,-1.819824460915367537e+00
9.023643039068086624e-01,-2.304391440783219558e+00
8.505515896373349038e-01,-2.900860966186140200e+00
7.860225223154518881e-01,-3.589783786787259956e+00
7.054024304879265017e-01,-4.548377920750441561e+00
5.977024793012960524e-01,-6.490391952592902136e+00
4.211859461516824776e-01,-1.487127693040995879e+01
1.725894974755628475e-01,-7.642680071850682211e+00
4.768239034693219636e-02,-5.215031051057282596e+00
-4.429366449246802812e-02,-4.047907107990467601e+00
-1.305151139251817527e-01,-4.656741547188405939e+00
-2.107858416962301029e-01,-3.305788489993323420e+00
-2.705476317568724087e-01,-2.620043684831991460e+00
-2.979592650004673771e-01,1.479630082545142500e-01
