Angle(rad),AngularVel(rad/s),Position(m),Velocity(m/s)
-1.606824052577908099e-02,-9.336242795734782662e-01,3.088574130655296224e-03,3.089521597680310872e-01
-1.867084124234423548e-02,6.730513387202989861e-01,3.881725698763830584e-03,-2.295236912814778152e-01
-7.112708370699272198e-04,1.125210780390172971e+00,-2.236414913403851623e-03,-3.824759222469589215e-01
7.945771192712964420e-03,-2.582452917592377162e-01,-5.261588448479778690e-03,7.977240953631997700e-02
5.201287609108620064e-04,-4.852628070548380412e-01,-2.900997060178578477e-03,1.563609438722496359e-01
-1.383409811022822539e-02,-9.524179202004467992e-01,1.768069927479545573e-03,3.107233667788527609e-01
-2.608756097902188015e-02,-2.739995794358347503e-01,5.680914965576644264e-03,8.069949656654057391e-02
-4.113124635666366019e-02,-1.234920870388822145e+00,1.040432612734267306e-02,3.919833732846526586e-01
-4.979883287322729030e-02,3.698766878208084030e-01,1.286179516778463566e-02,-1.462823812016639247e-01
-3.108638557184860429e-02,1.499691100520638143e+00,6.107734245515823029e-03,-5.289473096289516452e-01
1.255249219665670671e-02,2.872358059443318012e+00,-9.069730867508028760e-03,-9.894334865765387343e-01
8.495053185764903092e-02,4.431222581863469401e+00,-3.356174241886328291e-02,-1.464945917193492431e+00
1.705652262596973334e-01,4.174510177174966863e+00,-6.085589145088603907e-02,-1.268142101565471469e+00
2.541953955195282999e-01,4.279310791244847145e+00,-8.447590515982696113e-02,-1.101430268902266585e+00
3.832695500484639695e-01,1.003490327170375984e+01,-1.089778544422362883e-01,-1.457751804507191551e+00
4.430209174571370090e-01,1.473495548825414225e-01,-1.301093611060336330e-01,-1.015841134801270584e+00
4.519062168309107563e-01,7.158550093968925054e-01,-1.492217786117219502e-01,-8.932437165099096354e-01
4.552155548890491343e-01,-3.709177723702115070e-01,-1.667387444826568532e-01,-8.596748044010196210e-01
4.145633501855745529e-01,-4.536397389074829256e+00,-1.839814627481553833e-01,-7.919976258407537273e-01
3.028482553907837493e-01,-3.910986919498377734e+00,-1.961790274464220163e-01,-6.613851757033145651e-01
2.239637349288606250e-01,-4.041420247555257639e+00,-2.070242682547600854e-01,-4.178143020663214191e-01
1.310247940701710634e-01,-5.207118518444651123e+00,-2.103055645941542817e-01,8.582443517723914450e-02
3.924135615731420140e-02,-4.086588217372307597e+00,-2.113462442566313160e-01,-1.803946196063542784e-01
-5.847917486496210376e-02,-5.768505567259466282e+00,-2.095748194328592162e-01,3.642160087491405074e-01
-1.979374601022644564e-01,-8.726694160283711810e+00,-1.968384636437737478e-01,9.543122565242829758e-01
-4.563570481117467659e-01,-9.078162764988348954e+00,-1.716954790233059802e-01,8.601792276514695912e-01
-6.014229220728265490e-01,-6.255966993335550619e+00,-1.618503458099110337e-01,1.966153079098539869e-01
